protocol,local_address,local_port,remote_address,remote_port,status,pid
TCP,::,49685,N/A,N/A,LISTEN,1220
TCP,::,135,N/A,N/A,LISTEN,1564
UDP,0.0.0.0,50083,N/A,N/A,NONE,18516
UDP,::,5353,N/A,N/A,NONE,19388
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59324,2001:558:feed:443::110,443,TIME_WAIT,N/A
TCP,10.0.0.125,57535,57.144.174.141,443,ESTABLISHED,19388
TCP,0.0.0.0,7680,N/A,N/A,LISTEN,20168
TCP,127.0.0.1,49726,127.0.0.1,49727,ESTABLISHED,1640
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59336,2600:1407:7400:5::1730:44f,443,ESTABLISHED,14424
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59337,2001:558:feed:443::109,443,TIME_WAIT,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59354,2001:558:feed:443::110,443,ESTABLISHED,19388
TCP,10.0.0.125,57038,20.169.174.231,443,ESTABLISHED,26960
TCP,127.0.0.1,49882,127.0.0.1,49883,ESTABLISHED,10100
UDP,0.0.0.0,55137,N/A,N/A,NONE,19388
UDP,127.0.0.1,62715,N/A,N/A,NONE,14100
TCP,127.0.0.1,49728,127.0.0.1,49729,ESTABLISHED,4948
UDP,::,50083,N/A,N/A,NONE,18516
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58945,2603:1036:304:284e::2,443,ESTABLISHED,19388
UDP,0.0.0.0,5355,N/A,N/A,NONE,2092
TCP,127.0.0.1,49673,127.0.0.1,49672,ESTABLISHED,5368
TCP,10.0.0.125,59323,104.238.217.205,443,TIME_WAIT,N/A
TCP,::,7680,N/A,N/A,LISTEN,20168
TCP,10.0.0.125,56808,172.202.211.174,443,ESTABLISHED,18516
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58947,2606:4700::6812:1ead,443,TIME_WAIT,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59350,2001:558:feed:443::110,443,ESTABLISHED,16020
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,56884,2603:1030:f00:c::1a,443,ESTABLISHED,16020
TCP,127.0.0.1,59356,N/A,N/A,LISTEN,27656
TCP,::,5357,N/A,N/A,LISTEN,4
UDP,::,55137,N/A,N/A,NONE,19388
UDP,0.0.0.0,3702,N/A,N/A,NONE,5748
UDP,0.0.0.0,5353,N/A,N/A,NONE,2092
UDP,0.0.0.0,3702,N/A,N/A,NONE,3716
TCP,0.0.0.0,49670,N/A,N/A,LISTEN,4452
UDP,::,58199,N/A,N/A,NONE,19388
UDP,0.0.0.0,49665,N/A,N/A,NONE,5748
TCP,::,49670,N/A,N/A,LISTEN,4452
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,57537,2a03:2880:f357:91:face:b00c:0:6206,443,ESTABLISHED,19388
UDP,::,3702,N/A,N/A,NONE,5748
TCP,127.0.0.1,59358,127.0.0.1,59357,ESTABLISHED,13380
UDP,::,3702,N/A,N/A,NONE,3716
UDP,10.0.0.125,137,N/A,N/A,NONE,4
TCP,0.0.0.0,5357,N/A,N/A,LISTEN,4
TCP,10.0.0.125,56969,10.0.0.5,8009,ESTABLISHED,19388
TCP,127.0.0.1,8884,N/A,N/A,LISTEN,4
TCP,10.0.0.125,58873,104.238.216.198,443,ESTABLISHED,19388
TCP,127.0.0.1,59359,127.0.0.1,59356,ESTABLISHED,28556
UDP,10.0.0.125,1900,N/A,N/A,NONE,14100
TCP,10.0.0.125,59330,10.0.0.184,53048,TIME_WAIT,N/A
UDP,::,5353,N/A,N/A,NONE,1604
UDP,::1,62713,N/A,N/A,NONE,14100
TCP,0.0.0.0,49669,N/A,N/A,LISTEN,3404
TCP,127.0.0.1,59302,127.0.0.1,59303,TIME_WAIT,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59319,2a03:2880:f357:120:face:b00c:0:167,443,TIME_WAIT,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59320,2a03:2880:f203:1c1:face:b00c:0:167,443,TIME_WAIT,N/A
TCP,127.0.0.1,49924,127.0.0.1,49925,ESTABLISHED,14820
UDP,::,63265,N/A,N/A,NONE,2092
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59349,2606:4700:4400::ac40:9517,80,ESTABLISHED,384
TCP,127.0.0.1,49883,127.0.0.1,49882,ESTABLISHED,10100
UDP,0.0.0.0,5353,N/A,N/A,NONE,12524
UDP,0.0.0.0,63135,N/A,N/A,NONE,19388
TCP,10.0.0.125,56930,34.237.73.95,443,ESTABLISHED,19388
UDP,::,5355,N/A,N/A,NONE,2092
TCP,10.0.0.125,59163,76.223.31.44,443,ESTABLISHED,19388
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59333,2001:558:feed:443::110,443,ESTABLISHED,19388
UDP,::,500,N/A,N/A,NONE,5048
TCP,10.0.0.125,58887,23.82.31.231,443,ESTABLISHED,19388
UDP,0.0.0.0,5353,N/A,N/A,NONE,19388
TCP,127.0.0.1,59355,N/A,N/A,LISTEN,27656
TCP,0.0.0.0,49668,N/A,N/A,LISTEN,3248
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,57467,2a03:2880:f357:121:face:b00c:0:7260,5222,ESTABLISHED,13148
TCP,10.0.0.125,56980,10.0.0.238,8009,ESTABLISHED,19388
UDP,0.0.0.0,4500,N/A,N/A,NONE,5048
TCP,10.0.0.125,58385,13.66.142.100,8883,ESTABLISHED,21008
UDP,0.0.0.0,500,N/A,N/A,NONE,5048
UDP,0.0.0.0,123,N/A,N/A,NONE,26972
TCP,10.0.0.125,59346,140.82.114.6,443,CLOSE_WAIT,384
TCP,10.0.0.125,57105,10.0.0.5,8009,ESTABLISHED,26960
TCP,127.0.0.1,49727,127.0.0.1,49726,ESTABLISHED,1640
UDP,127.0.0.1,1900,N/A,N/A,NONE,14100
TCP,10.0.0.125,49413,172.183.7.194,443,ESTABLISHED,5576
TCP,0.0.0.0,445,N/A,N/A,LISTEN,4
TCP,::,49665,N/A,N/A,LISTEN,1076
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59352,2603:1063:27:2::14,443,ESTABLISHED,5440
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58481,2a03:2880:f357:8d:face:b00c:0:2,443,ESTABLISHED,19388
TCP,127.0.0.1,59357,127.0.0.1,59358,ESTABLISHED,27656
UDP,10.0.0.125,62714,N/A,N/A,NONE,14100
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59341,2001:558:feed:443::109,443,TIME_WAIT,N/A
TCP,10.0.0.125,58888,23.82.31.231,443,ESTABLISHED,19388
TCP,0.0.0.0,49685,N/A,N/A,LISTEN,1220
TCP,0.0.0.0,135,N/A,N/A,LISTEN,1564
TCP,127.0.0.1,59356,127.0.0.1,59359,ESTABLISHED,27656
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58923,2001:558:feed:443::109,443,TIME_WAIT,N/A
TCP,10.0.0.125,59210,52.182.143.208,443,ESTABLISHED,11436
TCP,0.0.0.0,49664,N/A,N/A,LISTEN,1248
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59339,2001:558:feed:443::109,443,TIME_WAIT,N/A
TCP,10.0.0.125,59351,20.50.73.13,443,ESTABLISHED,16020
UDP,0.0.0.0,58199,N/A,N/A,NONE,19388
UDP,::,49666,N/A,N/A,NONE,5748
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58934,2001:558:feed:443::110,443,TIME_WAIT,N/A
UDP,127.0.0.1,49664,N/A,N/A,NONE,5112
TCP,::,445,N/A,N/A,LISTEN,4
TCP,127.0.0.1,49676,N/A,N/A,LISTEN,5368
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58951,2001:558:feed:443::110,443,TIME_WAIT,N/A
UDP,0.0.0.0,5353,N/A,N/A,NONE,1604
UDP,::,123,N/A,N/A,NONE,26972
UDP,::,60855,N/A,N/A,NONE,3716
TCP,10.0.0.125,59353,4.249.131.160,443,ESTABLISHED,18696
TCP,0.0.0.0,5040,N/A,N/A,LISTEN,10252
TCP,::1,42050,N/A,N/A,LISTEN,2000
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58482,2a03:2880:f357:8d:face:b00c:0:2,443,ESTABLISHED,19388
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59335,2600:1407:7400:1f::172f:4845,443,ESTABLISHED,14424
UDP,fe80::355a:67bc:9906:35c4,1900,N/A,N/A,NONE,14100
TCP,10.0.0.125,56929,192.108.254.67,443,ESTABLISHED,19388
TCP,127.0.0.1,49672,127.0.0.1,49673,ESTABLISHED,5368
UDP,10.0.0.125,138,N/A,N/A,NONE,4
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,57519,2607:f8b0:4023:140f::bc,5228,ESTABLISHED,19388
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59269,2600:1407:7400:1e8a::4106,443,ESTABLISHED,28048
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59347,2606:4700:4400::ac40:9517,80,ESTABLISHED,384
UDP,0.0.0.0,60854,N/A,N/A,NONE,3716
UDP,::,5353,N/A,N/A,NONE,2092
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,56943,2607:f8b0:4023:141f::bc,5228,ESTABLISHED,19388
TCP,127.0.0.1,49731,127.0.0.1,49730,ESTABLISHED,1828
TCP,10.0.0.125,59348,140.82.113.22,443,ESTABLISHED,384
TCP,::,49668,N/A,N/A,LISTEN,3248
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,57534,2a03:2880:f357:186:face:b00c:0:1cc9,443,ESTABLISHED,19388
TCP,10.0.0.125,139,N/A,N/A,LISTEN,4
UDP,0.0.0.0,5050,N/A,N/A,NONE,10252
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59325,2603:1063:27:1::14,443,TIME_WAIT,N/A
UDP,0.0.0.0,63265,N/A,N/A,NONE,2092
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58582,2603:1036:304:807::2,443,ESTABLISHED,13128
UDP,0.0.0.0,58399,N/A,N/A,NONE,19388
UDP,::,63135,N/A,N/A,NONE,19388
TCP,127.0.0.1,49730,127.0.0.1,49731,ESTABLISHED,1828
TCP,10.0.0.125,59340,204.79.197.203,443,TIME_WAIT,N/A
TCP,127.0.0.1,49925,127.0.0.1,49924,ESTABLISHED,14820
UDP,::1,1900,N/A,N/A,NONE,14100
UDP,::,58399,N/A,N/A,NONE,19388
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,58931,2001:558:feed:443::109,443,TIME_WAIT,N/A
TCP,::1,49671,N/A,N/A,LISTEN,5192
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59321,2a03:2880:f203:c5:face:b00c:0:167,443,TIME_WAIT,N/A
UDP,fe80::355a:67bc:9906:35c4,62712,N/A,N/A,NONE,14100
TCP,10.0.0.125,58877,89.43.104.93,443,ESTABLISHED,19388
TCP,10.0.0.125,59316,52.179.73.52,443,TIME_WAIT,N/A
UDP,::,4500,N/A,N/A,NONE,5048
TCP,0.0.0.0,49665,N/A,N/A,LISTEN,1076
TCP,::,49664,N/A,N/A,LISTEN,1248
TCP,::,49669,N/A,N/A,LISTEN,3404
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59345,2001:558:feed:443::109,443,ESTABLISHED,19388
UDP,::,5353,N/A,N/A,NONE,12524
TCP,127.0.0.1,49729,127.0.0.1,49728,ESTABLISHED,4948
TCP,10.0.0.125,56873,34.237.73.95,443,ESTABLISHED,19388
TCP,10.0.0.125,59219,140.82.112.25,443,ESTABLISHED,19388
